,Rec,Tgts,Yds,Avg,Lng,Td,Name
0,12,16,146,12.2,27,0,Andre Johnson
1,8,13,76,9.5,21,0,Andre Johnson
2,5,6,36,7.2,12,0,Andre Johnson
3,9,12,110,12.2,17,0,Andre Johnson
4,3,10,39,13,19,0,Andre Johnson
5,7,8,88,12.6,19,0,Andre Johnson
6,4,6,89,22.3,42,0,Andre Johnson
7,9,13,229,25.4,62,3,Andre Johnson
8,5,12,37,7.4,14,2,Andre Johnson
9,10,17,116,11.6,34,0,Andre Johnson
10,2,6,36,18,21,0,Andre Johnson
11,8,9,121,15.1,29,0,Andre Johnson
12,13,21,154,11.8,27,0,Andre Johnson
13,4,10,18,4.5,9,0,Andre Johnson
14,4,13,63,15.8,33,0,Andre Johnson
15,6,9,49,8.2,13,0,Andre Johnson
16,8,10,104,13,38,1,Brandon Marshall
17,7,10,113,16.1,34,1,Brandon Marshall
18,5,8,52,10.4,41,0,Brandon Marshall
19,7,14,79,11.3,24,0,Brandon Marshall
20,4,5,30,7.5,12,1,Brandon Marshall
21,9,11,87,9.7,20,2,Brandon Marshall
22,6,10,75,12.5,28,0,Brandon Marshall
23,7,13,107,15.3,23,1,Brandon Marshall
24,7,12,139,19.9,44,2,Brandon Marshall
25,4,10,42,10.5,16,0,Brandon Marshall
26,10,12,117,11.7,23,1,Brandon Marshall
27,4,9,45,11.3,15,0,Brandon Marshall
28,6,8,100,16.7,22,0,Brandon Marshall
29,6,12,95,15.8,41,1,Brandon Marshall
30,4,9,36,9,14,1,Brandon Marshall
31,6,10,74,12.3,37,1,Brandon Marshall
32,4,9,37,9.3,13,0,Calvin Johnson
33,6,8,116,19.3,72,2,Calvin Johnson
34,7,13,115,16.4,23,1,Calvin Johnson
35,4,10,44,11,19,1,Calvin Johnson
36,3,8,25,8.3,10,0,Calvin Johnson
37,9,14,155,17.2,50,2,Calvin Johnson
38,14,17,329,23.5,87,1,Calvin Johnson
39,6,17,83,13.8,19,2,Calvin Johnson
40,6,12,179,29.8,79,2,Calvin Johnson
41,7,14,115,16.4,21,0,Calvin Johnson
42,6,10,101,16.8,20,1,Calvin Johnson
43,3,6,52,17.3,33,0,Calvin Johnson
44,6,14,98,16.3,37,0,Calvin Johnson
45,3,4,43,14.3,17,0,Calvin Johnson
46,9,11,67,7.4,15,2,Wes Welker
47,3,8,39,13,20,1,Wes Welker
48,7,8,84,12,32,1,Wes Welker
49,7,9,76,10.9,33,2,Wes Welker
50,5,6,49,9.8,16,1,Wes Welker
51,6,8,63,10.5,26,1,Wes Welker
52,7,11,96,13.7,25,0,Wes Welker
53,6,10,81,13.5,24,1,Wes Welker
54,3,6,21,7,11,0,Wes Welker
55,8,10,72,9,20,0,Wes Welker
56,4,8,31,7.8,17,0,Wes Welker
57,3,5,38,12.7,20,0,Wes Welker
58,5,10,61,12.2,30,1,Wes Welker
59,6,9,38,6.3,8,1,Wes Welker
60,4,5,38,9.5,16,0,Wes Welker
61,8,10,84,10.5,22,0,Wes Welker
62,5,11,161,32.2,78,2,Demaryius Thomas
63,5,6,52,10.4,18,0,Demaryius Thomas
64,10,11,94,9.4,22,0,Demaryius Thomas
65,9,10,86,9.6,15,2,Demaryius Thomas
66,5,6,57,11.4,26,0,Demaryius Thomas
67,3,5,78,26,42,0,Demaryius Thomas
68,4,10,82,20.5,31,1,Demaryius Thomas
69,7,11,75,10.7,35,1,Demaryius Thomas
70,7,10,108,15.4,34,3,Demaryius Thomas
71,5,13,121,24.2,70,0,Demaryius Thomas
72,4,9,41,10.3,15,1,Demaryius Thomas
73,3,6,106,35.3,77,0,Demaryius Thomas
74,7,10,88,12.6,38,1,Demaryius Thomas
75,4,5,45,11.3,21,0,Demaryius Thomas
76,8,14,123,15.4,36,1,Demaryius Thomas
77,6,6,113,18.8,63,2,Demaryius Thomas
78,9,13,162,18,45,2,AJ Green
79,6,15,41,6.8,10,0,AJ Green
