,Rec,Tgts,Yds,Avg,Lng,Td,Name
0,8,10,119,14.9,29,1,Andre Johnson
1,3,4,21,7,11,0,Andre Johnson
2,2,5,72,36,60,1,Andre Johnson
3,3,6,56,18.7,33,0,Andre Johnson
4,1,6,15,15,15,0,Andre Johnson
5,8,12,75,9.4,15,0,Andre Johnson
6,9,10,86,9.6,14,0,Andre Johnson
7,8,10,118,14.8,34,0,Andre Johnson
8,4,10,35,8.8,11,0,Andre Johnson
9,14,19,273,19.5,48,1,Andre Johnson
10,9,15,188,20.9,43,0,Andre Johnson
11,5,7,56,11.2,21,0,Andre Johnson
12,8,10,95,11.9,25,0,Andre Johnson
13,11,13,151,13.7,52,1,Andre Johnson
14,7,10,97,13.9,19,0,Andre Johnson
15,12,17,141,11.8,39,0,Andre Johnson
16,9,15,119,13.2,24,1,Brandon Marshall
17,2,5,24,12,14,0,Brandon Marshall
18,5,11,71,14.2,34,0,Brandon Marshall
19,7,8,138,19.7,31,1,Brandon Marshall
20,12,17,144,12,24,1,Brandon Marshall
21,6,10,81,13.5,20,1,Brandon Marshall
22,9,14,98,10.9,18,0,Brandon Marshall
23,9,10,122,13.6,39,3,Brandon Marshall
24,8,13,107,13.4,45,0,Brandon Marshall
25,2,4,21,10.5,13,1,Brandon Marshall
26,12,17,92,7.7,17,0,Brandon Marshall
27,10,14,165,16.5,56,0,Brandon Marshall
28,10,20,160,16,39,1,Brandon Marshall
29,6,7,56,9.3,15,1,Brandon Marshall
30,6,15,68,11.3,30,1,Brandon Marshall
31,5,14,42,8.4,19,0,Brandon Marshall
32,6,7,111,18.5,51,0,Calvin Johnson
33,8,12,94,11.8,26,0,Calvin Johnson
34,10,12,164,16.4,28,1,Calvin Johnson
35,5,12,54,10.8,19,0,Calvin Johnson
36,6,12,135,22.5,37,0,Calvin Johnson
37,3,11,34,11.3,16,0,Calvin Johnson
38,3,8,46,15.3,25,0,Calvin Johnson
39,7,8,129,18.4,38,0,Calvin Johnson
40,12,13,207,17.3,50,1,Calvin Johnson
41,5,11,143,28.6,53,1,Calvin Johnson
42,8,17,140,17.5,35,1,Calvin Johnson
43,13,21,171,13.2,46,1,Calvin Johnson
44,10,13,118,11.8,20,0,Calvin Johnson
45,10,17,121,12.1,30,0,Calvin Johnson
46,11,17,225,20.5,49,0,Calvin Johnson
47,5,14,72,14.4,24,0,Calvin Johnson
48,3,5,14,4.7,8,0,Wes Welker
49,5,11,95,19,36,0,Wes Welker
50,8,10,142,17.8,59,0,Wes Welker
51,9,11,129,14.3,26,0,Wes Welker
52,13,15,104,8,15,1,Wes Welker
53,10,14,138,13.8,46,1,Wes Welker
54,6,8,66,11,21,0,Wes Welker
55,6,9,48,8,11,0,Wes Welker
56,6,11,74,12.3,23,0,Wes Welker
57,7,11,80,11.4,18,0,Wes Welker
58,7,10,71,10.1,28,1,Wes Welker
59,12,18,103,8.6,14,1,Wes Welker
60,3,9,52,17.3,25,0,Wes Welker
61,5,8,56,11.2,15,0,Wes Welker
62,10,12,88,8.8,25,1,Wes Welker
63,8,12,94,11.8,23,1,Wes Welker
64,5,7,110,22,71,1,Demaryius Thomas
65,8,11,78,9.8,17,1,Demaryius Thomas
66,3,11,34,11.3,23,0,Demaryius Thomas
67,5,6,103,20.6,40,0,Demaryius Thomas
68,9,11,180,20,38,0,Demaryius Thomas
69,2,2,37,18.5,29,1,Demaryius Thomas
70,7,9,137,19.6,41,1,Demaryius Thomas
71,6,8,77,12.8,45,0,Demaryius Thomas
72,9,11,135,15,46,0,Demaryius Thomas
73,3,9,42,14,17,1,Demaryius Thomas
74,4,8,82,20.5,30,1,Demaryius Thomas
75,8,10,99,12.4,28,2,Demaryius Thomas
76,5,7,83,16.6,22,0,Demaryius Thomas
77,4,9,13,3.3,5,0,Demaryius Thomas
78,9,14,102,11.3,23,1,Demaryius Thomas
79,7,8,122,17.4,36,1,Demaryius Thomas
80,5,11,70,14,19,0,AJ Green
81,7,12,58,8.3,12,1,AJ Green
82,9,11,183,20.3,73,1,AJ Green
83,6,9,117,19.5,42,1,AJ Green
84,9,13,65,7.2,18,1,AJ Green
85,7,11,135,19.3,57,2,AJ Green
86,1,6,8,8,8,1,AJ Green
87,7,9,99,14.1,37,1,AJ Green
88,7,10,85,12.1,56,1,AJ Green
89,6,12,91,15.2,40,1,AJ Green
90,3,9,111,37,48,0,AJ Green
91,9,13,85,9.4,16,0,AJ Green
92,3,8,44,14.7,17,0,AJ Green
93,6,10,57,9.5,13,1,AJ Green
94,10,18,116,11.6,21,0,AJ Green
95,2,2,26,13,17,0,AJ Green
96,4,6,37,9.3,14,1,Mike Wallace
97,5,5,74,14.8,37,1,Mike Wallace
98,8,11,123,15.4,22,1,Mike Wallace
99,2,8,17,8.5,9,0,Mike Wallace
100,2,4,94,47,82,1,Mike Wallace
101,8,15,52,6.5,12,0,Mike Wallace
102,7,9,62,8.9,14,0,Mike Wallace
103,3,5,66,22,51,1,Mike Wallace
104,3,8,14,4.7,7,1,Mike Wallace
105,4,7,24,6,13,0,Mike Wallace
106,1,7,9,9,9,0,Mike Wallace
107,5,8,44,8.8,15,0,Mike Wallace
108,7,11,112,16,40,2,Mike Wallace
